cluster_id,x,y,z
340,8.499454,6.583529,5.02491
341,8.011113,6.322566,4.714695
342,8.269313,6.473215,4.77575
343,7.8731413,6.581049,4.5617914
344,8.202403,6.9181166,4.894641
345,8.143131,6.673012,5.027368
346,8.204954,6.441808,4.6916027
347,8.061353,6.3327036,4.6805444
348,7.4318876,9.536945,3.478344
349,7.604709,8.742904,3.0905125
350,6.535028,10.278984,4.4369993
351,11.942933,8.691906,4.800558
352,9.522126,7.0751157,3.7987282
353,9.400004,7.097379,3.8412478
354,9.549658,7.35028,3.7404683
355,9.663516,6.8375726,4.395075
356,9.664203,6.8585844,4.3913307
357,9.706342,6.7629747,4.192541
358,9.748261,6.836687,4.4372735
359,9.762889,6.476153,4.589215
360,9.797525,6.665249,4.546209
361,10.219148,6.478601,3.991858
362,6.5289354,7.633004,2.2413828
363,9.648631,6.66977,3.2140713
364,9.13496,8.090647,2.6870637
365,6.8485165,9.456504,3.2906272
366,6.9993815,9.330551,3.8263252
367,8.124135,8.977884,3.9097352
368,7.5063777,8.24466,2.5227792
369,9.672129,8.526452,5.480565
370,9.579854,8.511358,5.5117893
371,10.860587,7.1422524,4.7583137
372,10.017416,8.307964,5.305513
373,6.8529687,10.005258,4.946818
374,9.751553,8.532488,5.4605584
375,9.987621,8.418923,5.3841796
376,11.230454,9.254402,4.5113053
377,7.0497384,8.8250885,4.280116
378,8.04193,6.323428,4.0476866
379,9.871354,5.3017035,4.4139175
380,9.68139,5.739718,4.393175
381,7.5954146,6.28768,3.2813582
382,7.4139624,6.144883,3.7461307
383,9.835624,5.6603675,4.438651
384,9.297094,5.905437,4.579636
385,8.678264,5.73374,4.316344
386,7.1753626,9.320171,3.6168034
387,7.3330154,8.340232,4.472518
388,7.1924405,8.479257,4.3828754
389,11.932083,6.098661,3.68334
390,10.881835,8.355205,4.6455183
391,11.097896,8.363883,4.9575934
392,7.3860893,8.138047,3.3909104
393,7.867115,7.8387227,3.3914928
394,11.130785,8.366442,4.959729
395,10.928343,8.514744,4.849366
396,11.049028,8.368277,4.9559274
397,10.912478,8.456059,4.8157973
399,10.043992,5.6043205,2.2509618
400,11.094303,8.967307,3.4548502
401,11.112399,8.900109,3.4706628
402,11.097233,9.157342,3.4869032
403,11.098953,9.085278,4.5739913
404,10.786418,9.8245945,3.5589917
405,10.454755,4.3607845,3.3842843
406,11.208166,10.044505,3.6662989
407,10.976038,8.612465,4.756589
408,11.862128,8.464223,4.632197
409,11.089907,7.693667,4.8130627
410,10.619636,9.4052725,4.4903927
411,11.156956,10.208571,3.7008958
412,11.890548,8.6433735,5.055027
413,11.108993,10.172381,3.7880695
414,11.883952,8.560776,4.9203453
415,11.134952,10.022182,3.7404292
416,6.155242,9.230742,3.1502843
417,11.077186,8.549373,4.848508
418,11.919411,8.688507,4.8179803
419,11.128746,10.204611,3.7167952
420,11.110945,10.177238,3.7335145
421,11.053675,10.239539,3.7486267
422,11.058793,10.254163,3.74202
423,9.161443,6.5121703,3.4930782
424,11.869066,8.636558,4.9929667
425,11.904911,8.633337,4.7559643
426,11.896546,8.639219,4.869662
427,11.163829,5.75516,4.1814966
428,11.312236,9.134581,4.5134096
429,7.16781,8.83442,3.7099168
431,11.182602,8.905288,4.7533994
432,7.9802365,9.299333,3.541022
434,11.341482,9.016077,4.8077292
435,11.121534,9.3765545,4.4288545
436,10.429449,6.3489223,2.2467203
437,11.344704,9.357903,4.697563
438,11.269354,9.356194,4.60291
439,11.408335,9.376581,4.731774
440,10.820819,8.7210455,3.1724107
441,11.351922,9.324589,4.5891223
442,11.320539,9.273164,4.523705
443,11.418118,9.441214,4.761653
444,11.454476,9.498332,4.693296
445,11.472027,9.531012,4.713758
446,11.445876,9.373377,4.634227
447,11.474528,9.508265,4.7443337
448,10.822414,8.977398,3.5973744
449,11.491299,9.559098,4.703851
450,11.44384,9.586331,4.759574
451,10.778158,8.735681,3.1200588
452,6.4737782,10.590217,4.5822144
453,11.37563,8.0187845,5.0089636
454,9.9898205,5.0389843,2.2346575
455,11.63736,6.4844394,4.425799
456,10.952796,8.599052,3.3132987
